Timestamp,Marker_ID,X_meters,Y_meters,Z_meters
16:53:31.583,1,0.0929,-0.1365,3.2434
16:53:31.597,1,0.0961,-0.1416,3.3317
16:53:31.630,1,0.0961,-0.1416,3.3317
16:53:31.798,1,0.0961,-0.1416,3.3317
16:53:31.865,1,0.0961,-0.1416,3.3317
16:53:32.465,1,0.0961,-0.1416,3.3317
16:53:32.499,1,0.0929,-0.1365,3.2434
16:53:33.265,1,0.0961,-0.1416,3.3317
16:53:33.332,1,0.0961,-0.1416,3.3317
16:53:33.366,1,0.0961,-0.1416,3.3317
16:53:33.398,1,0.0961,-0.1416,3.3317
16:53:33.436,1,0.0961,-0.1416,3.3317
16:53:33.465,1,0.0961,-0.1416,3.3317
16:53:33.632,1,0.0961,-0.1416,3.3317
16:53:33.666,1,0.0961,-0.1416,3.3317
16:53:33.698,1,0.0961,-0.1416,3.3317
16:53:33.731,1,0.0961,-0.1416,3.3317
16:53:33.965,1,0.0929,-0.1365,3.2434
16:53:34.233,1,0.0961,-0.1416,3.3317
16:53:34.833,1,0.0961,-0.1416,3.3317
16:53:34.870,1,0.0961,-0.1416,3.3317
16:53:34.936,1,0.0961,-0.1416,3.3317
16:53:35.367,1,0.0961,-0.1416,3.3317
16:53:35.600,1,0.0929,-0.1365,3.2434
16:53:35.701,1,0.0929,-0.1365,3.2434
16:53:35.934,1,0.0961,-0.1416,3.3317
16:53:35.967,1,0.0961,-0.1416,3.3317
16:53:36.004,1,0.0929,-0.1365,3.2434
16:53:36.032,1,0.0961,-0.1416,3.3317
16:53:36.065,1,0.0961,-0.1416,3.3317
16:53:36.098,1,0.0961,-0.1416,3.3317
16:53:36.137,1,0.0961,-0.1416,3.3317
16:53:36.165,1,0.0961,-0.1416,3.3317
16:53:36.200,1,0.0961,-0.1416,3.3317
16:53:36.233,1,0.0961,-0.1416,3.3317
16:53:36.266,1,0.0929,-0.1365,3.2434
16:53:36.568,1,0.0961,-0.1416,3.3317
16:53:36.802,1,0.0961,-0.1416,3.3317
16:53:36.835,1,0.0929,-0.1365,3.2434
16:53:36.968,1,0.0961,-0.1416,3.3317
16:53:37.568,1,0.0961,-0.1416,3.3317
16:53:37.607,1,0.0961,-0.1416,3.3317
16:53:37.633,1,0.0961,-0.1416,3.3317
16:53:37.668,1,0.0929,-0.1365,3.2434
16:53:38.068,1,0.0929,-0.1365,3.2434
16:53:38.236,1,0.0961,-0.1416,3.3317
16:53:38.269,1,0.0961,-0.1416,3.3317
16:53:38.642,1,0.0961,-0.1416,3.3317
16:53:38.669,1,0.0961,-0.1416,3.3317
16:53:38.736,1,0.0961,-0.1416,3.3317
16:53:39.140,1,0.0929,-0.1365,3.2434
16:53:39.169,1,0.0961,-0.1416,3.3317
16:53:39.206,1,0.0961,-0.1416,3.3317
16:53:39.704,1,0.0961,-0.1416,3.3317
16:53:39.737,1,0.0961,-0.1416,3.3317
16:53:39.772,1,0.0929,-0.1365,3.2434
16:53:39.970,1,0.0961,-0.1416,3.3317
16:53:40.204,1,0.0961,-0.1416,3.3317
16:53:40.571,1,0.0961,-0.1416,3.3317
16:53:40.738,1,0.0961,-0.1416,3.3317
16:53:40.770,1,0.0929,-0.1365,3.2434
16:53:41.274,1,0.0929,-0.1365,3.2434
16:53:41.538,1,0.0961,-0.1416,3.3317
16:53:41.606,1,0.0961,-0.1416,3.3317
16:53:42.308,1,0.0929,-0.1365,3.2434
16:53:42.839,1,0.0961,-0.1416,3.3317
16:53:42.875,1,0.0929,-0.1365,3.2434
16:53:43.443,1,0.0961,-0.1416,3.3317
16:53:43.773,1,0.0961,-0.1416,3.3317
16:53:43.873,1,0.0929,-0.1365,3.2434
16:53:44.373,1,0.0961,-0.1416,3.3317
16:53:44.409,1,0.0961,-0.1416,3.3317
16:53:44.439,1,0.0961,-0.1416,3.3317
16:53:44.472,1,0.0961,-0.1416,3.3317
16:53:44.606,1,0.0961,-0.1416,3.3317
16:53:45.608,1,0.0929,-0.1365,3.2434
16:53:45.908,1,0.0929,-0.1365,3.2434
16:53:46.509,1,0.0760,-0.1416,3.3319
16:53:46.544,1,0.0712,-0.1365,3.2434
16:53:47.009,1,0.0337,-0.1446,3.3378
16:53:47.042,1,0.0315,-0.1392,3.2435
16:53:47.078,1,0.0274,-0.1391,3.2420
16:53:47.642,1,-0.0320,-0.1344,3.1622
16:53:47.676,1,-0.0373,-0.1344,3.1622
16:53:48.076,1,-0.0778,-0.1295,3.0772
16:53:48.109,1,-0.0847,-0.1344,3.1622
16:53:48.142,1,-0.0878,-0.1343,3.1600
16:53:48.173,1,-0.0867,-0.1294,3.0763
16:53:48.610,1,-0.1306,-0.1251,3.0042
16:53:48.645,1,-0.1354,-0.1269,3.0761
16:53:50.212,1,-0.1897,-0.1206,2.9251
16:53:50.611,1,-0.1931,-0.1207,2.9267
16:53:51.245,1,-0.1888,-0.1168,2.8611
16:53:51.278,1,-0.1888,-0.1168,2.8611
16:53:51.415,1,-0.1888,-0.1168,2.8611
16:53:51.749,1,-0.1888,-0.1168,2.8611
16:53:51.778,1,-0.1888,-0.1168,2.8611
16:53:51.810,1,-0.1888,-0.1168,2.8611
16:53:52.479,1,-0.1888,-0.1168,2.8611
16:53:52.579,1,-0.1888,-0.1168,2.8611
16:53:52.613,1,-0.1888,-0.1168,2.8611
16:53:52.646,1,-0.1888,-0.1168,2.8611
16:53:52.947,1,-0.1888,-0.1168,2.8611
16:53:53.314,1,-0.1888,-0.1168,2.8611
16:53:53.346,1,-0.1888,-0.1168,2.8611
16:53:53.513,1,-0.1888,-0.1168,2.8611
16:53:53.547,1,-0.1888,-0.1168,2.8611
16:53:53.579,1,-0.1888,-0.1168,2.8611
16:53:53.617,1,-0.1888,-0.1168,2.8611
16:53:53.713,1,-0.1888,-0.1168,2.8611
16:53:53.747,1,-0.1888,-0.1168,2.8611
16:53:53.880,1,-0.1888,-0.1168,2.8611
16:53:53.913,1,-0.1888,-0.1168,2.8611
16:53:53.946,1,-0.1888,-0.1168,2.8611
16:53:54.281,1,-0.1888,-0.1168,2.8611
16:53:54.314,1,-0.1888,-0.1168,2.8611
16:53:54.347,1,-0.1888,-0.1168,2.8611
16:53:54.380,1,-0.1888,-0.1168,2.8611
16:53:54.848,1,-0.1888,-0.1168,2.8611
16:53:54.881,1,-0.1888,-0.1168,2.8611
16:53:54.915,1,-0.1888,-0.1168,2.8611
16:53:54.981,1,-0.1888,-0.1168,2.8611
16:53:55.088,1,-0.1888,-0.1168,2.8611
16:53:55.282,1,-0.1888,-0.1168,2.8611
16:53:55.319,1,-0.1888,-0.1168,2.8611
16:53:55.482,1,-0.1888,-0.1168,2.8611
16:53:55.982,1,-0.1888,-0.1168,2.8611
16:53:56.485,1,-0.1888,-0.1168,2.8611
16:53:56.515,1,-0.1888,-0.1168,2.8611
16:53:56.616,1,-0.1888,-0.1168,2.8611
16:53:57.550,1,-0.1888,-0.1168,2.8611
16:53:57.586,1,-0.1888,-0.1168,2.8611
16:53:58.050,1,-0.1888,-0.1168,2.8611
16:53:58.087,1,-0.1888,-0.1168,2.8611
16:53:58.951,1,-0.1888,-0.1168,2.8611
16:53:59.155,1,-0.1888,-0.1168,2.8611
16:53:59.184,1,-0.1888,-0.1168,2.8611
16:53:59.518,1,-0.1888,-0.1168,2.8611
16:53:59.552,1,-0.1888,-0.1168,2.8611
16:53:59.656,1,-0.1888,-0.1168,2.8611
16:53:59.891,1,-0.1888,-0.1168,2.8611
16:53:59.952,1,-0.1888,-0.1168,2.8611
16:53:59.985,1,-0.1888,-0.1168,2.8611
16:54:01.252,1,-0.1888,-0.1168,2.8611
16:54:01.520,1,-0.1888,-0.1168,2.8611
16:54:01.890,1,-0.1888,-0.1168,2.8611
16:54:02.090,1,-0.1888,-0.1168,2.8611
16:54:02.153,1,-0.1888,-0.1168,2.8611
16:54:02.186,1,-0.1888,-0.1168,2.8611
16:54:02.219,1,-0.1888,-0.1168,2.8611
16:54:02.251,1,-0.1888,-0.1168,2.8611
16:54:02.753,1,-0.1888,-0.1168,2.8611
16:54:02.787,1,-0.1888,-0.1168,2.8611
16:54:02.819,1,-0.1888,-0.1168,2.8611
16:54:03.020,1,-0.1888,-0.1168,2.8611
16:54:03.320,1,-0.1888,-0.1168,2.8611
16:54:03.353,1,-0.1888,-0.1168,2.8611
16:54:03.855,1,-0.1888,-0.1168,2.8611
16:54:03.888,1,-0.1888,-0.1168,2.8611
16:54:04.321,1,-0.1888,-0.1168,2.8611
16:54:04.355,1,-0.1888,-0.1168,2.8611
16:54:04.390,1,-0.1888,-0.1168,2.8611
16:54:04.722,1,-0.1888,-0.1168,2.8611
16:54:04.855,1,-0.1888,-0.1168,2.8611
16:54:04.891,1,-0.1888,-0.1168,2.8611
16:54:04.920,1,-0.1888,-0.1168,2.8611
16:54:04.953,1,-0.1888,-0.1168,2.8611
16:54:05.389,1,-0.1888,-0.1168,2.8611
16:54:05.960,1,-0.1888,-0.1168,2.8611
16:54:06.457,1,-0.1888,-0.1168,2.8611
16:54:06.556,1,-0.1888,-0.1168,2.8611
16:54:06.823,1,-0.1888,-0.1168,2.8611
16:54:06.857,1,-0.1888,-0.1168,2.8611
16:54:06.893,1,-0.1888,-0.1168,2.8611
