Timestamp,Marker_ID,X_meters,Y_meters,Z_meters
17:52:56.978,1,-0.3078,-0.2074,4.2917
17:52:58.532,1,-0.3078,-0.2074,4.2917
17:53:00.137,1,-0.3078,-0.2074,4.2917
17:53:02.705,1,-0.6597,-0.2281,3.7504
17:53:02.775,1,-0.6519,-0.2257,3.6369
17:53:03.038,1,-0.7110,-0.2317,3.7572
17:53:03.077,1,-0.6947,-0.2289,3.6390
17:53:03.102,1,-0.6751,-0.2176,3.5285
17:53:03.138,1,-0.6810,-0.2151,3.5363
17:53:06.641,1,-0.6477,-0.2133,2.5101
17:53:07.015,1,-0.6448,-0.2148,2.4093
17:53:07.041,1,-0.6482,-0.2149,2.4105
17:53:07.075,1,-0.6506,-0.2167,2.4084
17:53:07.111,1,-0.6380,-0.2134,2.3618
17:53:07.208,1,-0.6466,-0.2153,2.3605
17:53:07.242,1,-0.6470,-0.2135,2.3626
17:53:07.575,1,-0.6588,-0.2201,2.3171
17:53:07.608,1,-0.6383,-0.2138,2.2318
17:53:07.641,1,-0.6502,-0.2144,2.2670
17:53:07.674,1,-0.6308,-0.2070,2.1897
17:53:07.742,1,-0.6517,-0.2139,2.2333
17:53:07.773,1,-0.6399,-0.2107,2.1896
17:53:07.942,1,-0.6411,-0.2081,2.1538
17:53:08.009,1,-0.6252,-0.2027,2.0798
17:53:08.109,1,-0.6325,-0.2043,2.0780
17:53:08.175,1,-0.6287,-0.2034,2.0432
17:53:08.208,1,-0.6409,-0.2097,2.0802
17:53:08.278,1,-0.6319,-0.2051,2.0438
17:53:08.308,1,-0.6359,-0.2033,2.0419
17:53:08.346,1,-0.6145,-0.1967,1.9771
17:53:08.709,1,-0.6246,-0.1998,1.9108
17:53:09.079,1,-0.6311,-0.2038,1.8260
17:53:09.109,1,-0.6267,-0.2032,1.8001
17:53:09.144,1,-0.6373,-0.2069,1.8262
17:53:09.480,1,-0.6254,-0.2076,1.7026
17:53:09.482,17,-0.1481,-0.2278,1.2939
17:53:09.507,1,-0.6227,-0.2082,1.6779
17:53:09.542,1,-0.6278,-0.2099,1.6805
17:53:09.642,1,-0.6278,-0.2117,1.6567
17:53:09.814,1,-0.6237,-0.2134,1.5912
17:53:09.842,1,-0.6262,-0.2133,1.5908
17:53:09.876,1,-0.6224,-0.2124,1.5696
17:53:09.908,1,-0.6277,-0.2151,1.5698
17:53:09.942,1,-0.6232,-0.2142,1.5488
17:53:10.143,1,-0.6318,-0.2177,1.5106
17:53:10.213,1,-0.6249,-0.2158,1.4721
17:53:10.313,1,-0.6253,-0.2173,1.4418
17:53:10.341,1,-0.6200,-0.2153,1.4242
17:53:10.511,1,-0.6199,-0.2142,1.3752
17:53:10.542,1,-0.6258,-0.2167,1.3768
17:53:10.575,1,-0.6304,-0.2188,1.3755
17:53:10.609,1,-0.6359,-0.2210,1.3751
